Date,State,Industry Sector Category,Residential
2019,PA,Energy-Only Providers,8.97
2019,RI,Energy-Only Providers,13.33
2019,VA,Energy-Only Providers,0.00
2019,WA,Energy-Only Providers,0.00
2019,US,Energy-Only Providers,8.35
2019,CA,Delivery-Only Service,13.34
2019,CT,Delivery-Only Service,12.88
2019,DC,Delivery-Only Service,4.64
2019,DE,Delivery-Only Service,5.52
2019,IL,Delivery-Only Service,6.01
2019,MA,Delivery-Only Service,11.32
2019,MD,Delivery-Only Service,5.41
2019,ME,Delivery-Only Service,8.50
2019,MI,Delivery-Only Service,7.02
2019,MT,Delivery-Only Service,5.71
2019,NH,Delivery-Only Service,10.32
2019,NJ,Delivery-Only Service,4.77
2019,NV,Delivery-Only Service,0.00
2019,NY,Delivery-Only Service,11.81
2019,OH,Delivery-Only Service,6.47
2019,OR,Delivery-Only Service,0.00
2019,PA,Delivery-Only Service,6.50
2019,RI,Delivery-Only Service,10.85
2019,VA,Delivery-Only Service,0.00
2019,WA,Delivery-Only Service,0.00
2019,US,Delivery-Only Service,8.48
2018,AK,Total Electric Industry,21.94
2018,AL,Total Electric Industry,12.18
2018,AR,Total Electric Industry,9.81
2018,AZ,Total Electric Industry,12.77
2018,CA,Total Electric Industry,18.84
2018,CO,Total Electric Industry,12.15
2018,CT,Total Electric Industry,21.20
2018,DC,Total Electric Industry,12.84
2018,DE,Total Electric Industry,12.53
2018,FL,Total Electric Industry,11.54
2018,GA,Total Electric Industry,11.47
2018,HI,Total Electric Industry,32.47
2018,IA,Total Electric Industry,12.24
2018,ID,Total Electric Industry,10.15
2018,IL,Total Electric Industry,12.77
2018,IN,Total Electric Industry,12.26
2018,KS,Total Electric Industry,13.35
2018,KY,Total Electric Industry,10.60
2018,LA,Total Electric Industry,9.59
2018,MA,Total Electric Industry,21.61
2018,MD,Total Electric Industry,13.30
2018,ME,Total Electric Industry,16.84
2018,MI,Total Electric Industry,15.45
2018,MN,Total Electric Industry,13.14
2018,MO,Total Electric Industry,11.34
2018,MS,Total Electric Industry,11.12
2018,MT,Total Electric Industry,10.96
2018,NC,Total Electric Industry,11.09
2018,ND,Total Electric Industry,10.25
2018,NE,Total Electric Industry,10.70
2018,NH,Total Electric Industry,19.69
2018,NJ,Total Electric Industry,15.41
2018,NM,Total Electric Industry,12.68
2018,NV,Total Electric Industry,11.85
2018,NY,Total Electric Industry,18.52
2018,OH,Total Electric Industry,12.56
2018,OK,Total Electric Industry,10.30
2018,OR,Total Electric Industry,10.98
2018,PA,Total Electric Industry,13.89
2018,RI,Total Electric Industry,20.55
2018,SC,Total Electric Industry,12.44
2018,SD,Total Electric Industry,11.59
2018,TN,Total Electric Industry,10.71
2018,TX,Total Electric Industry,11.20
2018,UT,Total Electric Industry,10.41
