Date,State,Industry Sector Category,Residential
2016,MD,Delivery-Only Service,5.26
2016,ME,Delivery-Only Service,8.30
2016,MI,Delivery-Only Service,6.94
2016,MT,Delivery-Only Service,5.00
2016,NH,Delivery-Only Service,6.60
2016,NJ,Delivery-Only Service,4.58
2016,NV,Delivery-Only Service,0.00
2016,NY,Delivery-Only Service,11.06
2016,OH,Delivery-Only Service,6.03
2016,OR,Delivery-Only Service,0.00
2016,PA,Delivery-Only Service,6.38
2016,RI,Delivery-Only Service,9.11
2016,VA,Delivery-Only Service,0.00
2016,WA,Delivery-Only Service,0.00
2016,US,Delivery-Only Service,7.09
2015,AK,Total Electric Industry,19.83
2015,AL,Total Electric Industry,11.70
2015,AR,Total Electric Industry,9.82
2015,AZ,Total Electric Industry,12.13
2015,CA,Total Electric Industry,16.99
2015,CO,Total Electric Industry,12.12
2015,CT,Total Electric Industry,20.94
2015,DC,Total Electric Industry,12.99
2015,DE,Total Electric Industry,13.42
2015,FL,Total Electric Industry,11.58
2015,GA,Total Electric Industry,11.54
2015,HI,Total Electric Industry,29.60
2015,IA,Total Electric Industry,11.63
2015,ID,Total Electric Industry,9.93
2015,IL,Total Electric Industry,12.50
2015,IN,Total Electric Industry,11.57
2015,KS,Total Electric Industry,12.34
2015,KY,Total Electric Industry,10.24
2015,LA,Total Electric Industry,9.33
2015,MA,Total Electric Industry,19.83
2015,MD,Total Electric Industry,13.82
2015,ME,Total Electric Industry,15.61
2015,MI,Total Electric Industry,14.42
2015,MN,Total Electric Industry,12.12
2015,MO,Total Electric Industry,11.21
2015,MS,Total Electric Industry,11.27
2015,MT,Total Electric Industry,10.88
2015,NC,Total Electric Industry,11.28
2015,ND,Total Electric Industry,9.62
2015,NE,Total Electric Industry,10.60
2015,NH,Total Electric Industry,18.50
2015,NJ,Total Electric Industry,15.81
2015,NM,Total Electric Industry,12.47
2015,NV,Total Electric Industry,12.76
2015,NY,Total Electric Industry,18.54
2015,OH,Total Electric Industry,12.80
2015,OK,Total Electric Industry,10.14
2015,OR,Total Electric Industry,10.66
2015,PA,Total Electric Industry,13.64
2015,RI,Total Electric Industry,19.29
2015,SC,Total Electric Industry,12.57
2015,SD,Total Electric Industry,11.08
2015,TN,Total Electric Industry,10.30
2015,TX,Total Electric Industry,11.56
2015,UT,Total Electric Industry,10.88
2015,VA,Total Electric Industry,11.37
2015,VT,Total Electric Industry,17.09
2015,WA,Total Electric Industry,9.09
2015,WI,Total Electric Industry,14.11
2015,WV,Total Electric Industry,10.08
2015,WY,Total Electric Industry,10.97
2015,US,Total Electric Industry,12.65
1/12/2015,AK,Full-Service Providers,19.83
1/19/2015,AL,Full-Service Providers,11.70
1/26/2015,AR,Full-Service Providers,9.82
2/2/2015,AZ,Full-Service Providers,12.13
2/9/2015,CA,Full-Service Providers,16.97
2/16/2015,CO,Full-Service Providers,12.12
2/23/2015,CT,Full-Service Providers,20.38
3/2/2015,DC,Full-Service Providers,12.30
3/9/2015,DE,Full-Service Providers,13.29
3/16/2015,FL,Full-Service Providers,11.58
3/23/2015,GA,Full-Service Providers,11.54
3/30/2015,HI,Full-Service Providers,29.60
4/6/2015,IA,Full-Service Providers,11.63
4/13/2015,ID,Full-Service Providers,9.93
4/20/2015,IL,Full-Service Providers,12.55
4/27/2015,IN,Full-Service Providers,11.57
5/4/2015,KS,Full-Service Providers,12.34
5/11/2015,KY,Full-Service Providers,10.24
5/18/2015,LA,Full-Service Providers,9.33
5/25/2015,MA,Full-Service Providers,19.40
6/1/2015,MD,Full-Service Providers,13.43
6/8/2015,ME,Full-Service Providers,14.84
6/15/2015,MI,Full-Service Providers,14.42
6/22/2015,MN,Full-Service Providers,12.12
6/29/2015,MO,Full-Service Providers,11.21
7/6/2015,MS,Full-Service Providers,11.27
7/13/2015,MT,Full-Service Providers,10.88
7/20/2015,NC,Full-Service Providers,11.28
7/27/2015,ND,Full-Service Providers,9.62
8/3/2015,NE,Full-Service Providers,10.60
8/10/2015,NH,Full-Service Providers,18.62
8/17/2015,NJ,Full-Service Providers,15.61
8/24/2015,NM,Full-Service Providers,12.47
8/31/2015,NV,Full-Service Providers,12.76
9/7/2015,NY,Full-Service Providers,17.80
9/14/2015,OH,Full-Service Providers,12.77
9/21/2015,OK,Full-Service Providers,10.14
9/28/2015,OR,Full-Service Providers,10.66
10/5/2015,PA,Full-Service Providers,13.16
10/12/2015,RI,Full-Service Providers,19.20
10/19/2015,SC,Full-Service Providers,12.57
10/26/2015,SD,Full-Service Providers,11.08
11/2/2015,TN,Full-Service Providers,10.30
11/9/2015,TX,Full-Service Providers,11.56
11/16/2015,UT,Full-Service Providers,10.88
11/23/2015,VA,Full-Service Providers,11.37
11/30/2015,VT,Full-Service Providers,17.09
12/7/2015,WA,Full-Service Providers,9.09
12/14/2015,WI,Full-Service Providers,14.11
12/21/2015,WV,Full-Service Providers,10.08
12/28/2015,WY,Full-Service Providers,10.97
2015,CA,Restructured Retail Service Providers,17.85
2015,CT,Restructured Retail Service Providers,21.97
2015,DC,Restructured Retail Service Providers,15.27
2015,DE,Restructured Retail Service Providers,15.20
2015,IL,Restructured Retail Service Providers,12.45
2015,MA,Restructured Retail Service Providers,21.28
2015,MD,Restructured Retail Service Providers,15.24
2015,ME,Restructured Retail Service Providers,18.69
2015,MI,Restructured Retail Service Providers,12.47
2015,MT,Restructured Retail Service Providers,11.67
2015,NH,Restructured Retail Service Providers,17.92
2015,NJ,Restructured Retail Service Providers,17.14
2015,NV,Restructured Retail Service Providers,0.00
2015,NY,Restructured Retail Service Providers,21.74
2015,OH,Restructured Retail Service Providers,12.84
2015,OR,Restructured Retail Service Providers,0.00
2015,PA,Restructured Retail Service Providers,14.51
2015,RI,Restructured Retail Service Providers,20.30
2015,VA,Restructured Retail Service Providers,0.00
2015,WA,Restructured Retail Service Providers,0.00
2015,US,Restructured Retail Service Providers,15.35
2015,CA,Energy-Only Providers,7.78
2015,CT,Energy-Only Providers,11.76
2015,DC,Energy-Only Providers,11.06
2015,DE,Energy-Only Providers,10.32
2015,IL,Energy-Only Providers,6.60
2015,MA,Energy-Only Providers,13.01
2015,MD,Energy-Only Providers,10.32
2015,ME,Energy-Only Providers,10.73
2015,MI,Energy-Only Providers,6.15
2015,MT,Energy-Only Providers,6.67
2015,NH,Energy-Only Providers,11.32
2015,NJ,Energy-Only Providers,12.41
2015,NV,Energy-Only Providers,0.00
2015,NY,Energy-Only Providers,11.19
2015,OH,Energy-Only Providers,6.92
2015,OR,Energy-Only Providers,0.00
2015,PA,Energy-Only Providers,8.94
2015,RI,Energy-Only Providers,12.14
2015,VA,Energy-Only Providers,0.00
2015,WA,Energy-Only Providers,0.00
2015,US,Energy-Only Providers,8.76
2015,CA,Delivery-Only Service,10.07
2015,CT,Delivery-Only Service,10.21
2015,DC,Delivery-Only Service,4.21
2015,DE,Delivery-Only Service,4.88
2015,IL,Delivery-Only Service,5.84
2015,MA,Delivery-Only Service,8.27
2015,MD,Delivery-Only Service,4.92
2015,ME,Delivery-Only Service,7.95
2015,MI,Delivery-Only Service,6.31
2015,MT,Delivery-Only Service,5.00
2015,NH,Delivery-Only Service,6.60
2015,NJ,Delivery-Only Service,4.73
2015,NV,Delivery-Only Service,0.00
2015,NY,Delivery-Only Service,10.55
2015,OH,Delivery-Only Service,5.92
2015,OR,Delivery-Only Service,0.00
2015,PA,Delivery-Only Service,5.57
2015,RI,Delivery-Only Service,8.16
2015,VA,Delivery-Only Service,0.00
2015,WA,Delivery-Only Service,0.00
2015,US,Delivery-Only Service,6.59
2014,AK,Total Electric Industry,19.14
2014,AL,Total Electric Industry,11.48
2014,AR,Total Electric Industry,9.51
2014,AZ,Total Electric Industry,11.90
2014,CA,Total Electric Industry,16.25
2014,CO,Total Electric Industry,12.18
2014,CT,Total Electric Industry,19.75
2014,DC,Total Electric Industry,12.74
2014,DE,Total Electric Industry,13.29
2014,FL,Total Electric Industry,11.89
2014,GA,Total Electric Industry,11.65
2014,HI,Total Electric Industry,37.04
2014,IA,Total Electric Industry,11.16
2014,ID,Total Electric Industry,9.72
2014,IL,Total Electric Industry,11.91
2014,IN,Total Electric Industry,11.46
2014,KS,Total Electric Industry,12.17
2014,KY,Total Electric Industry,10.16
2014,LA,Total Electric Industry,9.57
2014,MA,Total Electric Industry,17.39
2014,MD,Total Electric Industry,13.63
2014,ME,Total Electric Industry,15.27
2014,MI,Total Electric Industry,14.46
2014,MN,Total Electric Industry,12.01
2014,MO,Total Electric Industry,10.64
2014,MS,Total Electric Industry,11.32
2014,MT,Total Electric Industry,10.18
2014,NC,Total Electric Industry,11.10
2014,ND,Total Electric Industry,9.15
2014,NE,Total Electric Industry,10.40
2014,NH,Total Electric Industry,17.53
2014,NJ,Total Electric Industry,15.78
2014,NM,Total Electric Industry,12.28
2014,NV,Total Electric Industry,12.93
2014,NY,Total Electric Industry,20.07
2014,OH,Total Electric Industry,12.50
2014,OK,Total Electric Industry,10.03
2014,OR,Total Electric Industry,10.47
2014,PA,Total Electric Industry,13.32
2014,RI,Total Electric Industry,17.17
2014,SC,Total Electric Industry,12.45
2014,SD,Total Electric Industry,10.47
2014,TN,Total Electric Industry,10.32
2014,TX,Total Electric Industry,11.86
2014,UT,Total Electric Industry,10.65
2014,VA,Total Electric Industry,11.10
2014,VT,Total Electric Industry,17.47
2014,WA,Total Electric Industry,8.67
2014,WI,Total Electric Industry,13.67
2014,WV,Total Electric Industry,9.34
2014,WY,Total Electric Industry,10.50
2014,US,Total Electric Industry,12.52
1/6/2014,AK,Full-Service Providers,19.14
1/13/2014,AL,Full-Service Providers,11.48
1/20/2014,AR,Full-Service Providers,9.51
1/27/2014,AZ,Full-Service Providers,11.90
2/3/2014,CA,Full-Service Providers,16.24
2/10/2014,CO,Full-Service Providers,12.18
2/17/2014,CT,Full-Service Providers,18.57
2/24/2014,DC,Full-Service Providers,12.49
3/3/2014,DE,Full-Service Providers,13.15
3/10/2014,FL,Full-Service Providers,11.89
3/17/2014,GA,Full-Service Providers,11.65
3/24/2014,HI,Full-Service Providers,37.04
3/31/2014,IA,Full-Service Providers,11.16
4/7/2014,ID,Full-Service Providers,9.72
4/14/2014,IL,Full-Service Providers,11.86
4/21/2014,IN,Full-Service Providers,11.46
4/28/2014,KS,Full-Service Providers,12.17
5/5/2014,KY,Full-Service Providers,10.16
5/12/2014,LA,Full-Service Providers,9.57
5/19/2014,MA,Full-Service Providers,17.08
5/26/2014,MD,Full-Service Providers,13.28
6/2/2014,ME,Full-Service Providers,14.27
6/9/2014,MI,Full-Service Providers,14.46
6/16/2014,MN,Full-Service Providers,12.01
6/23/2014,MO,Full-Service Providers,10.64
6/30/2014,MS,Full-Service Providers,11.32
7/7/2014,MT,Full-Service Providers,10.18
7/14/2014,NC,Full-Service Providers,11.10
7/21/2014,ND,Full-Service Providers,9.15
7/28/2014,NE,Full-Service Providers,10.40
8/4/2014,NH,Full-Service Providers,17.93
8/11/2014,NJ,Full-Service Providers,15.37
8/18/2014,NM,Full-Service Providers,12.28
8/25/2014,NV,Full-Service Providers,12.93
9/1/2014,NY,Full-Service Providers,19.52
9/8/2014,OH,Full-Service Providers,12.87
9/15/2014,OK,Full-Service Providers,10.03
9/22/2014,OR,Full-Service Providers,10.47
9/29/2014,PA,Full-Service Providers,12.83
10/6/2014,RI,Full-Service Providers,17.10
10/13/2014,SC,Full-Service Providers,12.45
10/20/2014,SD,Full-Service Providers,10.47
10/27/2014,TN,Full-Service Providers,10.32
11/3/2014,TX,Full-Service Providers,11.86
11/10/2014,UT,Full-Service Providers,10.65
11/17/2014,VA,Full-Service Providers,11.10
11/24/2014,VT,Full-Service Providers,17.47
12/1/2014,WA,Full-Service Providers,8.67
12/8/2014,WI,Full-Service Providers,13.67
12/15/2014,WV,Full-Service Providers,9.34
12/22/2014,WY,Full-Service Providers,10.50
2014,CA,Restructured Retail Service Providers,17.06
2014,CT,Restructured Retail Service Providers,21.64
2014,DC,Restructured Retail Service Providers,14.02
2014,DE,Restructured Retail Service Providers,15.10
2014,IL,Restructured Retail Service Providers,11.96
2014,MA,Restructured Retail Service Providers,19.02
2014,MD,Restructured Retail Service Providers,14.75
2014,ME,Restructured Retail Service Providers,15.29
2014,MI,Restructured Retail Service Providers,14.07
2014,MT,Restructured Retail Service Providers,10.00
2014,NH,Restructured Retail Service Providers,15.83
2014,NJ,Restructured Retail Service Providers,17.86
2014,NV,Restructured Retail Service Providers,0.00
2014,NY,Restructured Retail Service Providers,22.28
2014,OH,Restructured Retail Service Providers,12.03
2014,OR,Restructured Retail Service Providers,0.00
2014,PA,Restructured Retail Service Providers,14.11
2014,RI,Restructured Retail Service Providers,18.28
2014,VA,Restructured Retail Service Providers,0.00
2014,WA,Restructured Retail Service Providers,0.00
2014,US,Restructured Retail Service Providers,14.70
2014,CA,Energy-Only Providers,7.94
2014,CT,Energy-Only Providers,11.79
2014,DC,Energy-Only Providers,10.06
2014,DE,Energy-Only Providers,10.12
2014,IL,Energy-Only Providers,6.77
2014,MA,Energy-Only Providers,10.71
2014,MD,Energy-Only Providers,10.15
2014,ME,Energy-Only Providers,7.41
2014,MI,Energy-Only Providers,7.26
2014,MT,Energy-Only Providers,4.29
2014,NH,Energy-Only Providers,9.60
2014,NJ,Energy-Only Providers,13.06
2014,NV,Energy-Only Providers,0.00
2014,NY,Energy-Only Providers,12.02
2014,OH,Energy-Only Providers,6.51
2014,OR,Energy-Only Providers,0.00
2014,PA,Energy-Only Providers,9.13
2014,RI,Energy-Only Providers,10.39
2014,VA,Energy-Only Providers,0.00
2014,WA,Energy-Only Providers,0.00
2014,US,Energy-Only Providers,8.59
2014,CA,Delivery-Only Service,9.12
2014,CT,Delivery-Only Service,9.85
2014,DC,Delivery-Only Service,3.96
2014,DE,Delivery-Only Service,4.98
2014,IL,Delivery-Only Service,5.19
2014,MA,Delivery-Only Service,8.31
2014,MD,Delivery-Only Service,4.60
2014,ME,Delivery-Only Service,7.88
2014,MI,Delivery-Only Service,6.82
2014,MT,Delivery-Only Service,5.71
2014,NH,Delivery-Only Service,6.23
2014,NJ,Delivery-Only Service,4.80
2014,NV,Delivery-Only Service,0.00
2014,NY,Delivery-Only Service,10.25
2014,OH,Delivery-Only Service,5.53
2014,OR,Delivery-Only Service,0.00
2014,PA,Delivery-Only Service,4.99
2014,RI,Delivery-Only Service,7.89
2014,VA,Delivery-Only Service,0.00
2014,WA,Delivery-Only Service,0.00
2014,US,Delivery-Only Service,6.11
2013,AK,Total Electric Industry,18.12
2013,AL,Total Electric Industry,11.26
2013,AR,Total Electric Industry,9.59
2013,AZ,Total Electric Industry,11.71
2013,CA,Total Electric Industry,16.23
2013,CO,Total Electric Industry,11.93
2013,CT,Total Electric Industry,17.55
2013,DC,Total Electric Industry,12.57
2013,DE,Total Electric Industry,12.95
2013,FL,Total Electric Industry,11.27
2013,GA,Total Electric Industry,11.46
2013,HI,Total Electric Industry,36.98
2013,IA,Total Electric Industry,11.04
2013,ID,Total Electric Industry,9.32
2013,IL,Total Electric Industry,10.63
2013,IN,Total Electric Industry,10.99
2013,KS,Total Electric Industry,11.64
2013,KY,Total Electric Industry,9.79
2013,LA,Total Electric Industry,9.43
2013,MA,Total Electric Industry,15.83
2013,MD,Total Electric Industry,13.25
2013,ME,Total Electric Industry,14.35
2013,MI,Total Electric Industry,14.59
2013,MN,Total Electric Industry,11.81
2013,MO,Total Electric Industry,10.60
2013,MS,Total Electric Industry,10.78
2013,MT,Total Electric Industry,10.33
2013,NC,Total Electric Industry,10.97
2013,ND,Total Electric Industry,9.12
2013,NE,Total Electric Industry,10.31
2013,NH,Total Electric Industry,16.33
2013,NJ,Total Electric Industry,15.73
2013,NM,Total Electric Industry,11.68
2013,NV,Total Electric Industry,11.89
2013,NY,Total Electric Industry,18.79
2013,OH,Total Electric Industry,12.01
2013,OK,Total Electric Industry,9.67
2013,OR,Total Electric Industry,9.90
2013,PA,Total Electric Industry,12.79
2013,RI,Total Electric Industry,15.20
2013,SC,Total Electric Industry,11.99
2013,SD,Total Electric Industry,10.26
2013,TN,Total Electric Industry,9.98
2013,TX,Total Electric Industry,11.35
2013,UT,Total Electric Industry,10.37
2013,VA,Total Electric Industry,10.84
2013,VT,Total Electric Industry,17.14
2013,WA,Total Electric Industry,8.70
2013,WI,Total Electric Industry,13.55
2013,WV,Total Electric Industry,9.52
2013,WY,Total Electric Industry,10.16
2013,US,Total Electric Industry,12.13
1/7/2013,AK,Full-Service Providers,18.12
1/14/2013,AL,Full-Service Providers,11.26
1/21/2013,AR,Full-Service Providers,9.59
1/28/2013,AZ,Full-Service Providers,11.71
2/4/2013,CA,Full-Service Providers,16.21
2/11/2013,CO,Full-Service Providers,11.93
2/18/2013,CT,Full-Service Providers,16.62
2/25/2013,DC,Full-Service Providers,12.54
3/4/2013,DE,Full-Service Providers,12.93
3/11/2013,FL,Full-Service Providers,11.27
3/18/2013,GA,Full-Service Providers,11.46
3/25/2013,HI,Full-Service Providers,36.98
4/1/2013,IA,Full-Service Providers,11.04
4/8/2013,ID,Full-Service Providers,9.32
4/15/2013,IL,Full-Service Providers,11.04
4/22/2013,IN,Full-Service Providers,10.99
4/29/2013,KS,Full-Service Providers,11.64
5/6/2013,KY,Full-Service Providers,9.79
5/13/2013,LA,Full-Service Providers,9.43
5/20/2013,MA,Full-Service Providers,15.64
5/27/2013,MD,Full-Service Providers,13.19
6/3/2013,ME,Full-Service Providers,13.78
6/10/2013,MI,Full-Service Providers,14.59
6/17/2013,MN,Full-Service Providers,11.81
6/24/2013,MO,Full-Service Providers,10.60
7/1/2013,MS,Full-Service Providers,10.78
7/8/2013,MT,Full-Service Providers,10.33
7/15/2013,NC,Full-Service Providers,10.97
7/22/2013,ND,Full-Service Providers,9.12
7/29/2013,NE,Full-Service Providers,10.31
8/5/2013,NH,Full-Service Providers,16.83
8/12/2013,NJ,Full-Service Providers,15.60
8/19/2013,NM,Full-Service Providers,11.68
8/26/2013,NV,Full-Service Providers,11.89
9/2/2013,NY,Full-Service Providers,18.46
9/9/2013,OH,Full-Service Providers,12.44
9/16/2013,OK,Full-Service Providers,9.67
9/23/2013,OR,Full-Service Providers,9.90
9/30/2013,PA,Full-Service Providers,12.64
10/7/2013,RI,Full-Service Providers,15.17
10/14/2013,SC,Full-Service Providers,11.99
10/21/2013,SD,Full-Service Providers,10.26
10/28/2013,TN,Full-Service Providers,9.98
11/4/2013,TX,Full-Service Providers,11.35
11/11/2013,UT,Full-Service Providers,10.37
11/18/2013,VA,Full-Service Providers,10.84
11/25/2013,VT,Full-Service Providers,17.14
12/2/2013,WA,Full-Service Providers,8.70
12/9/2013,WI,Full-Service Providers,13.55
12/16/2013,WV,Full-Service Providers,9.52
12/23/2013,WY,Full-Service Providers,10.16
2013,CA,Restructured Retail Service Providers,18.34
2013,CT,Restructured Retail Service Providers,18.68
2013,DC,Restructured Retail Service Providers,12.73
2013,DE,Restructured Retail Service Providers,13.35
2013,IL,Restructured Retail Service Providers,10.25
2013,MA,Restructured Retail Service Providers,16.92
2013,MD,Restructured Retail Service Providers,13.46
2013,ME,Restructured Retail Service Providers,14.36
2013,MI,Restructured Retail Service Providers,14.80
2013,MT,Restructured Retail Service Providers,10.43
2013,NH,Restructured Retail Service Providers,13.77
2013,NJ,Restructured Retail Service Providers,16.34
2013,NV,Restructured Retail Service Providers,0.00
2013,NY,Restructured Retail Service Providers,20.12
2013,OH,Restructured Retail Service Providers,11.40
2013,OR,Restructured Retail Service Providers,0.00
2013,PA,Restructured Retail Service Providers,13.04
2013,RI,Restructured Retail Service Providers,16.31
2013,WA,Restructured Retail Service Providers,0.00
2013,US,Restructured Retail Service Providers,13.46
2013,CA,Energy-Only Providers,7.39
2013,CT,Energy-Only Providers,9.28
2013,DC,Energy-Only Providers,9.16
2013,DE,Energy-Only Providers,8.98
2013,IL,Energy-Only Providers,5.63
2013,MA,Energy-Only Providers,8.66
2013,MD,Energy-Only Providers,9.25
2013,ME,Energy-Only Providers,6.76
2013,MI,Energy-Only Providers,7.86
2013,MT,Energy-Only Providers,6.09
2013,NH,Energy-Only Providers,7.53
2013,NJ,Energy-Only Providers,11.24
2013,NV,Energy-Only Providers,0.00
2013,NY,Energy-Only Providers,9.67
2013,OH,Energy-Only Providers,6.08
2013,OR,Energy-Only Providers,0.00
2013,PA,Energy-Only Providers,8.11
2013,RI,Energy-Only Providers,8.70
2013,WA,Energy-Only Providers,0.00
2013,US,Energy-Only Providers,7.50
2013,CA,Delivery-Only Service,10.95
2013,CT,Delivery-Only Service,9.40
2013,DC,Delivery-Only Service,3.57
2013,DE,Delivery-Only Service,4.37
2013,IL,Delivery-Only Service,4.63
2013,MA,Delivery-Only Service,8.26
2013,MD,Delivery-Only Service,4.22
2013,ME,Delivery-Only Service,7.60
2013,MI,Delivery-Only Service,6.94
2013,MT,Delivery-Only Service,4.35
2013,NH,Delivery-Only Service,6.24
2013,NJ,Delivery-Only Service,5.10
2013,NV,Delivery-Only Service,0.00
2013,NY,Delivery-Only Service,10.45
2013,OH,Delivery-Only Service,5.33
2013,OR,Delivery-Only Service,0.00
2013,PA,Delivery-Only Service,4.93
2013,RI,Delivery-Only Service,7.60
2013,WA,Delivery-Only Service,0.00
2013,US,Delivery-Only Service,5.97
2012,AK,Total Electric Industry,17.88
2012,AL,Total Electric Industry,11.40
2012,AR,Total Electric Industry,9.30
2012,AZ,Total Electric Industry,11.29
2012,CA,Total Electric Industry,15.34
2012,CO,Total Electric Industry,11.46
2012,CT,Total Electric Industry,17.34
2012,DC,Total Electric Industry,12.28
2012,DE,Total Electric Industry,13.58
2012,FL,Total Electric Industry,11.42
2012,GA,Total Electric Industry,11.17
2012,HI,Total Electric Industry,37.34
2012,IA,Total Electric Industry,10.82
2012,ID,Total Electric Industry,8.67
2012,IL,Total Electric Industry,11.38
2012,IN,Total Electric Industry,10.53
2012,KS,Total Electric Industry,11.24
2012,KY,Total Electric Industry,9.43
2012,LA,Total Electric Industry,8.37
2012,MA,Total Electric Industry,14.91
2012,MD,Total Electric Industry,12.84
2012,ME,Total Electric Industry,14.66
2012,MI,Total Electric Industry,14.13
2012,MN,Total Electric Industry,11.35
2012,MO,Total Electric Industry,10.17
2012,MS,Total Electric Industry,10.26
2012,MT,Total Electric Industry,10.08
2012,NC,Total Electric Industry,10.91
2012,ND,Total Electric Industry,9.06
2012,NE,Total Electric Industry,10.04
2012,NH,Total Electric Industry,16.07
2012,NJ,Total Electric Industry,15.78
2012,NM,Total Electric Industry,11.38
2012,NV,Total Electric Industry,11.83
2012,NY,Total Electric Industry,17.62
2012,OH,Total Electric Industry,11.76
2012,OK,Total Electric Industry,9.51
2012,OR,Total Electric Industry,9.80
2012,PA,Total Electric Industry,12.75
2012,RI,Total Electric Industry,14.40
2012,SC,Total Electric Industry,11.77
2012,SD,Total Electric Industry,10.07
2012,TN,Total Electric Industry,10.10
2012,TX,Total Electric Industry,10.98
2012,UT,Total Electric Industry,9.93
2012,VA,Total Electric Industry,11.08
2012,VT,Total Electric Industry,17.01
2012,WA,Total Electric Industry,8.53
2012,WI,Total Electric Industry,13.19
2012,WV,Total Electric Industry,9.85
2012,WY,Total Electric Industry,9.85
2012,US,Total Electric Industry,11.88
1/2/2012,AK,Full-Service Providers,17.88
1/9/2012,AL,Full-Service Providers,11.40
1/16/2012,AR,Full-Service Providers,9.30
1/23/2012,AZ,Full-Service Providers,11.29
1/30/2012,CA,Full-Service Providers,15.32
2/6/2012,CO,Full-Service Providers,11.46
2/13/2012,CT,Full-Service Providers,17.05
2/20/2012,DC,Full-Service Providers,12.25
2/27/2012,DE,Full-Service Providers,13.60
3/5/2012,FL,Full-Service Providers,11.42
3/12/2012,GA,Full-Service Providers,11.17
3/19/2012,HI,Full-Service Providers,37.34
3/26/2012,IA,Full-Service Providers,10.82
4/2/2012,ID,Full-Service Providers,8.67
4/9/2012,IL,Full-Service Providers,11.70
4/16/2012,IN,Full-Service Providers,10.53
4/23/2012,KS,Full-Service Providers,11.24
4/30/2012,KY,Full-Service Providers,9.43
5/7/2012,LA,Full-Service Providers,8.37
5/14/2012,MA,Full-Service Providers,14.77
5/21/2012,MD,Full-Service Providers,12.78
5/28/2012,ME,Full-Service Providers,13.84
6/4/2012,MI,Full-Service Providers,14.13
6/11/2012,MN,Full-Service Providers,11.35
6/18/2012,MO,Full-Service Providers,10.17
6/25/2012,MS,Full-Service Providers,10.26
7/2/2012,MT,Full-Service Providers,10.08
7/9/2012,NC,Full-Service Providers,10.91
7/16/2012,ND,Full-Service Providers,9.06
7/23/2012,NE,Full-Service Providers,10.04
7/30/2012,NH,Full-Service Providers,16.12
8/6/2012,NJ,Full-Service Providers,15.87
8/13/2012,NM,Full-Service Providers,11.37
8/20/2012,NV,Full-Service Providers,11.83
8/27/2012,NY,Full-Service Providers,17.33
9/3/2012,OH,Full-Service Providers,12.02
9/10/2012,OK,Full-Service Providers,9.51
9/17/2012,OR,Full-Service Providers,9.80
9/24/2012,PA,Full-Service Providers,12.75
10/1/2012,RI,Full-Service Providers,14.41
10/8/2012,SC,Full-Service Providers,11.77
10/15/2012,SD,Full-Service Providers,10.07
10/22/2012,TN,Full-Service Providers,10.10
10/29/2012,TX,Full-Service Providers,10.98
11/5/2012,UT,Full-Service Providers,9.93
11/12/2012,VA,Full-Service Providers,11.08
11/19/2012,VT,Full-Service Providers,17.01
11/26/2012,WA,Full-Service Providers,8.53
12/3/2012,WI,Full-Service Providers,13.19
12/10/2012,WV,Full-Service Providers,9.85
12/17/2012,WY,Full-Service Providers,9.85
2012,CA,Restructured Retail Service Providers,20.06
2012,CT,Restructured Retail Service Providers,17.70
2012,DC,Restructured Retail Service Providers,12.49
2012,DE,Restructured Retail Service Providers,13.06
2012,IL,Restructured Retail Service Providers,10.00
2012,MA,Restructured Retail Service Providers,15.87
2012,MD,Restructured Retail Service Providers,13.06
2012,ME,Restructured Retail Service Providers,14.67
2012,MI,Restructured Retail Service Providers,14.11
2012,MT,Restructured Retail Service Providers,10.17
2012,NH,Restructured Retail Service Providers,14.26
2012,NJ,Restructured Retail Service Providers,15.28
2012,NV,Restructured Retail Service Providers,0.00
2012,NY,Restructured Retail Service Providers,18.83
2012,OH,Restructured Retail Service Providers,11.28
2012,OR,Restructured Retail Service Providers,0.00
2012,PA,Restructured Retail Service Providers,12.76
2012,RI,Restructured Retail Service Providers,14.02
2012,WA,Restructured Retail Service Providers,0.00
2012,US,Restructured Retail Service Providers,13.64
2012,CA,Energy-Only Providers,7.99
2012,CT,Energy-Only Providers,8.85
2012,DC,Energy-Only Providers,9.13
2012,DE,Energy-Only Providers,9.22
2012,IL,Energy-Only Providers,5.61
2012,MA,Energy-Only Providers,7.99
2012,MD,Energy-Only Providers,9.00
2012,ME,Energy-Only Providers,7.42
2012,MI,Energy-Only Providers,7.48
2012,MT,Energy-Only Providers,6.22
2012,NH,Energy-Only Providers,7.38
2012,NJ,Energy-Only Providers,10.45
2012,NV,Energy-Only Providers,0.00
2012,NY,Energy-Only Providers,8.41
2012,OH,Energy-Only Providers,6.11
2012,OR,Energy-Only Providers,0.00
2012,PA,Energy-Only Providers,7.83
2012,RI,Energy-Only Providers,7.66
2012,WA,Energy-Only Providers,0.00
2012,US,Energy-Only Providers,7.53
2012,CA,Delivery-Only Service,12.07
2012,CT,Delivery-Only Service,8.85
2012,DC,Delivery-Only Service,3.37
2012,DE,Delivery-Only Service,3.83
2012,IL,Delivery-Only Service,4.39
2012,MA,Delivery-Only Service,7.89
2012,MD,Delivery-Only Service,4.06
2012,ME,Delivery-Only Service,7.26
2012,MI,Delivery-Only Service,6.64
2012,MT,Delivery-Only Service,3.95
2012,NH,Delivery-Only Service,6.88
2012,NJ,Delivery-Only Service,4.83
